SpecimenCode,Subfamily,Genus,Species,LifeStageSex,Medium,SpecimenNotes,DNANotes,LocatedAt,OwnedBy,TypeStatus,DeterminedBy,DateDetermined,CollectionCode,CollectedBy,DateCollectedStart,DateCollectedEnd,Method,Habitat,Microhabitat,CollectionNotes,LocalityName,Adm1,Adm2,Country,Elevation,ElevationMaxError,LocLatitude,LocLongitude,LatLonMaxError,BiogeographicRegion,LocalityNotes,LocalityCode
lacm ent 142883,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL29May80,J. Longino,29/05/1980,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142884,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL29May80,J. Longino,29/05/1980,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142885,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL30May80/1140,J. Longino,30/05/1980,,search,,efn Passiflora incarnata,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142886,myrmicinae,solenopsis,invicta,worker male,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,collegestation,unknown,31/12/1983,,,,,,College Station,Texas,Brazos,United States,100,unknown,30.63,-96.33,unknown,Nearctic,,ustxbra001
lacm ent 142887,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL30May80/1140,J. Longino,30/05/1980,,search,,efn Passiflora incarnata,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142889,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL9Jun81/1130,J. Longino,09/06/1981,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142890,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL9Jun81/1130,J. Longino,09/06/1981,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142891,myrmicinae,solenopsis,invicta,Alate queen,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,collegestation,unknown,31/12/1983,,,,,,College Station,Texas,Brazos,United States,100,unknown,30.63,-96.33,unknown,Nearctic,,ustxbra001
lacm ent 142892,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,collegestation,unknown,31/12/1983,,,,,,College Station,Texas,Brazos,United States,100,unknown,30.63,-96.33,unknown,Nearctic,,ustxbra001
lacm ent 142893,myrmicinae,solenopsis,invicta,worker male,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,collegestation,unknown,31/12/1983,,,,,,College Station,Texas,Brazos,United States,100,unknown,30.63,-96.33,unknown,Nearctic,,ustxbra001
lacm ent 142894,myrmicinae,solenopsis,invicta,worker queen,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,collegestation,unknown,31/12/1983,,,,,,College Station,Texas,Brazos,United States,100,unknown,30.63,-96.33,unknown,Nearctic,,ustxbra001
lacm ent 142895,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL2601-s,J. Longino,30/12/1989,,search,beach margin,,,"Turtle Beach,Saras.",Florida,Sarasota Co.,United States,5,,27.216667,-82.51667,unknown,Nearctic,,usfla009
